rank,name,restaurant_id,segment,has_marketing,priority_score,priority_tier,recommended_channel,growth_component,booking_demand,ga4_demand,internal_mkt_campaign_responsiveness,campaign_responsiveness,score_growth_norm,delta_growth_norm,booking_volume_norm,revenue_per_booking_norm,booking_consistency_norm,listing_pull_raw,months_cnt,listing_pull_norm,view_to_cart_rate,cart_to_purchase_rate,funnel_depth_raw,funnel_depth_norm,n_campaigns,avg_lift_per_day,avg_roi,n_positive_lift,n_negative_lift,channels_used,best_channel,lift_norm,roi_norm,avg_gmv_per_view,n_months_gmv,ga_campaign_responsiveness,risk_thin_ga_demand_data,risk_inverse_attribution_rs,risk_thin_gmv_data,risk_low_gmv_per_view,is_seasonal,booking_growth_rolling,booking_growth_mom_rolling,booking_growth_yoy_rolling,score_growth_mom,score_growth_yoy
1,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Rising Stars,True,100.0,🔴 Activate — proven marketing response,CRM,0.654956296146036,0.7092634914135078,0.269547748031909,0.21509999999999999,0.3708339628040057,0.6963046422420551,0.5929337770020072,1.0,0.14593522165214026,0.884943083059552,9158.134615384615,17.0,0.5249360120458287,0.0708379617672113,0.13686217936049958,0.11045249232318427,0.014159484017989271,20.0,7.17,,20.0,0.0,CRM+KOL,CRM,0.3585,0.0,25.167310622209918,13.0,0.6044349070100143,False,False,False,False,False,1.2203023758099352,0.08823253461129561,1.2203023758099352,0.27108960524563386,0.6698890728412258
2,Nan Yuan Chinese Restaurant Avani Ratchada Bangkok,4232,Rising Stars,False,93.19402003206386,"🟠 Activate — untapped, no prior spend",CRM,0.8245473549361269,0.3068754938640058,0.044744444952570434,0.0,0.9542203147353362,0.9312799801319087,0.6644484171424542,0.07507507507507508,0.1381908389682837,0.7846273738116356,701.2142857142857,20.0,0.04019297009612286,0.05847000101864113,0.6019163763066202,0.38453782619142857,0.049295919809018006,,,,,,,,0.0,0.0,88.29527120704599,13.0,0.9542203147353362,False,False,False,False,False,1.6590909090909092,0.5868055555555555,1.6590909090909092,0.4776031927896503,0.8709762286428951
3,CHOB Craft Beef & Beer ,5181,Emerging Opportunities,False,85.21997828776699,"🟠 Activate — untapped, no prior spend",CRM,0.8545064498831827,0.24583811655355667,0.0,0.0,0.6258941344778255,0.863946812589927,0.8403459058230665,0.0075075075075075074,0.04098422808613891,0.7684661504157067,,,0.0,,,,0.0,,,,,,,,0.0,0.0,26.261776050700607,13.0,0.6258941344778255,True,True,False,False,False,2.0,0.11111111111111109,2.0,0.2569984712543959,0.8883771552958698
4,Boon Tong Kee Terminal 21 Rama 3,3561,Rising Stars,False,83.71268042730617,"🟠 Activate — untapped, no prior spend",CRM,0.835320427580304,0.23733245586609303,0.024622656897430522,0.0,0.6391273247496424,0.8407156737343437,0.8272275583492444,0.012012012012012012,0.038140734000606615,0.7369514362036875,356.5,27.0,0.020434258301899686,0.05750350631136045,0.3362369337979094,0.22474356280328983,0.028811055492961358,,,,,,,,0.0,0.0,27.063275090675283,13.0,0.6391273247496424,False,False,False,False,False,2.0,0.25000000000000006,2.0,0.2854916816618189,0.8457653130420507
5,"DID - Dine in the Dark at Sheraton Grande Sukhumvit, a Luxury Collection Hotel , Bangkok",5837,Rising Stars,False,79.84653830997854,"🟠 Activate — untapped, no prior spend",CRM,0.7295869329484499,0.27164930224478745,0.017750129339185586,0.0,0.8862660944206009,0.8497668744543918,0.5493170206895369,0.010510510510510511,0.23177320291173795,0.6597104572235395,233.8235294117647,11.0,0.013402553708448353,0.05786163522012579,0.3,0.20314465408805032,0.026042178156408503,,,,,,,,0.0,0.0,56.659695217981955,9.0,0.8862660944206009,False,True,False,False,False,1.1388888888888888,1.1388888888888888,,0.6934740802821296,
6,Great Harbour International Buffet,3005,Rising Stars,True,78.65962341353463,🔴 Activate — proven marketing response,KOL,0.5317336714664883,0.5013233163532331,0.25247640290148216,0.11866666666666666,0.40882517882689556,0.5622484508675604,0.48596150236488034,0.503003003003003,0.14434591511763942,0.8560611353891338,8469.825242718447,27.0,0.48548273992050195,0.09323217085897166,0.19097559476240242,0.15187822520103011,0.01947006588246232,9.0,3.9555555555555557,,6.0,3.0,CRM+KOL,KOL,0.19777777777777777,0.0,48.085109343130775,13.0,0.844062947067239,False,False,False,False,True,0.8054545454545454,0.09850647478242631,0.8054545454545454,0.27244583830025965,0.49978012629949187
7,Vinifera Wine Bar & Restaurant,3195,Rising Stars,False,78.2120245397764,"🟠 Activate — untapped, no prior spend",CRM,0.8041667301558553,0.19789146040669597,0.02419005937480767,0.0,0.7145922746781116,0.8983696294749323,0.6628623811772397,0.021021021021021023,0.05580831058538065,0.5758018627422445,270.92857142857144,27.0,0.01552938123404238,0.04732401792776167,0.3955431754874652,0.25625551246358375,0.032850737515572964,,,,,,,,0.0,0.0,32.43271833983765,13.0,0.7145922746781116,False,False,False,False,False,1.75,0.9583333333333334,1.75,0.5716605956662164,0.7856566562079784
8,The Hungry Duck Central Embassy,4639,Rising Stars,False,77.82082302086351,"🟠 Activate — untapped, no prior spend",CRM,0.7804990973123225,0.22893434189583384,0.02925408811985864,0.0,0.6055078683834049,0.9638703545262868,0.5054422114913761,0.015015015015015015,0.10093887004715031,0.6421555829189425,358.5652173913044,23.0,0.020552634699160525,0.04668364253668,0.4623376623376623,0.29607605441726936,0.03795554154055676,,,,,,,,0.0,0.0,25.210732813964952,13.0,0.6055078683834049,False,False,False,False,False,1.6,0.6166666666666668,1.6,0.46825709926174824,0.9165217391304347
9,The Emerald Coffee Shop  | The Emerald Hotel,6017,Rising Stars,True,77.22828014114717,🔴 Activate — proven marketing response,CRM,0.4496160088485378,0.45764246211076487,0.076968953611949,0.6,0.7411158798283262,0.564243991564931,0.27767403477394803,0.7057057057057057,0.14259778721825864,0.44193614554335,2078.0243902439024,11.0,0.1191104828832861,0.07216047136703482,0.4046844502277163,0.2716748586834437,0.03482742434061188,1.0,20.0,,1.0,0.0,CRM,CRM,1.0,0.0,87.11891976778932,8.0,0.9527896995708155,False,False,False,False,False,0.6421661554901387,0.6421661554901387,,0.4604657993481355,
10,Romsai Banyan Tree Hotel,894,Established Players,True,76.44246911686452,🔴 Activate — proven marketing response,CRM,0.3442378064608156,0.4495843351686406,0.5106757924664733,0.23812499999999998,0.4600423819742489,0.35043813392942313,0.3349373152579042,0.44894894894894893,0.14552484581943181,0.7544910061441049,17446.19230769231,26.0,1.0,0.06993591283969833,0.23096806733284997,0.1665552055355893,0.021351584932946543,8.0,7.9375,,5.0,3.0,CRM,CRM,0.396875,0.0,40.42949614405681,13.0,0.7929184549356223,False,False,False,False,False,0.0891000358282702,0.0891000358282702,,0.285984038597089,
